Date,Open,High,Low,Close,Adj Close,Volume,tickt,updated_at
2017-04-21,100.839996,101.790001,100.360001,101.68,101.483673,8547400,NVDA,2017-10-21 04:28:13
2017-04-24,102.959999,103.480003,102.110001,102.949997,102.751221,9295500,NVDA,2017-10-21 04:28:13
2017-04-25,103.540001,105.330002,102.669998,104.739998,104.537773,9711000,NVDA,2017-10-21 04:28:13
2017-04-26,105.290001,105.389999,103.940002,104.019997,103.819153,8175100,NVDA,2017-10-21 04:28:13
2017-04-27,104.32,105.980003,103.589996,105.639999,105.436028,7992500,NVDA,2017-10-21 04:28:13
2017-04-28,105.360001,105.639999,104.07,104.300003,104.098618,8677600,NVDA,2017-10-21 04:28:13
2017-05-01,104.739998,106.849998,104.449997,106.639999,106.434105,7693300,NVDA,2017-10-21 04:28:13
2017-05-02,105.550003,105.599998,102.559998,103.480003,103.280205,15749300,NVDA,2017-10-21 04:28:13
2017-05-03,103.199997,104.639999,102.599998,104.25,104.048714,8422600,NVDA,2017-10-21 04:28:13
2017-05-04,104.5,104.949997,103.529999,103.849998,103.649483,5244700,NVDA,2017-10-21 04:28:13
2017-05-05,103.379997,104.150002,102.75,103.860001,103.65947,5710700,NVDA,2017-10-21 04:28:13
2017-05-08,104.339996,104.400002,102.309998,102.769997,102.571564,9131000,NVDA,2017-10-21 04:28:13
2017-05-09,103.0,104.93,102.660004,102.940002,102.741249,21191800,NVDA,2017-10-21 04:28:13
2017-05-10,114.290001,121.82,114.019997,121.290001,121.055809,53227400,NVDA,2017-10-21 04:28:13
2017-05-11,120.050003,130.429993,119.910004,126.5,126.255753,48494800,NVDA,2017-10-21 04:28:13
2017-05-12,126.629997,129.600006,125.779999,127.889999,127.643066,24065500,NVDA,2017-10-21 04:28:13
2017-05-15,129.559998,134.410004,129.380005,134.309998,134.050659,27188500,NVDA,2017-10-21 04:28:13
2017-05-16,136.380005,137.440002,133.360001,136.809998,136.545837,28017500,NVDA,2017-10-21 04:28:13
2017-05-17,134.100006,134.860001,127.550003,127.720001,127.473404,31784200,NVDA,2017-10-21 04:28:13
2017-05-18,129.5,133.429993,127.050003,133.070007,132.81308,28900800,NVDA,2017-10-21 04:28:13
2017-05-19,137.029999,138.220001,135.220001,136.0,135.880371,25459300,NVDA,2017-10-21 04:28:13
2017-05-22,137.770004,139.479996,137.330002,138.899994,138.777817,20915200,NVDA,2017-10-21 04:28:13
2017-05-23,139.699997,139.789993,135.710007,137.029999,136.909454,17031200,NVDA,2017-10-21 04:28:13
2017-05-24,140.960007,141.070007,138.080002,138.570007,138.44812,20399900,NVDA,2017-10-21 04:28:13
2017-05-25,140.0,140.029999,136.440002,138.259995,138.138382,15205700,NVDA,2017-10-21 04:28:13
2017-05-26,137.929993,145.279999,137.110001,141.839996,141.715225,19478500,NVDA,2017-10-21 04:28:13
2017-05-30,143.699997,146.289993,143.050003,144.869995,144.742554,24741300,NVDA,2017-10-21 04:28:13
2017-05-31,146.690002,147.0,142.050003,144.350006,144.223022,22182900,NVDA,2017-10-21 04:28:13
2017-06-01,144.990005,145.029999,142.520004,144.360001,144.233017,12583500,NVDA,2017-10-21 04:28:13
2017-06-02,144.240005,145.300003,143.399994,143.639999,143.513641,12186400,NVDA,2017-10-21 04:28:13
2017-06-05,142.979996,148.529999,142.509995,148.009995,147.879791,20434400,NVDA,2017-10-21 04:28:13
2017-06-06,147.820007,149.690002,146.800003,147.339996,147.210388,18968200,NVDA,2017-10-21 04:28:13
2017-06-07,148.330002,149.880005,147.699997,149.119995,148.988815,15315300,NVDA,2017-10-21 04:28:13
2017-06-08,153.460007,160.0,151.789993,159.940002,159.799316,28579300,NVDA,2017-10-21 04:28:13
2017-06-09,164.740005,168.5,142.75,149.600006,149.468414,92323200,NVDA,2017-10-21 04:28:13
2017-06-12,145.880005,151.699997,142.110001,149.970001,149.838074,42438300,NVDA,2017-10-21 04:28:13
2017-06-13,154.399994,154.770004,145.649994,151.399994,151.266815,41812600,NVDA,2017-10-21 04:28:13
2017-06-14,151.520004,154.059998,148.5,151.720001,151.586548,29616000,NVDA,2017-10-21 04:28:13
